CHAIN,WEEK_START,NEW_TOKENS_COUNT
Polygon,2022-06-27 00:00:00.000,40
Polygon,2022-07-04 00:00:00.000,55
Polygon,2022-07-11 00:00:00.000,55
Polygon,2022-07-18 00:00:00.000,51
Polygon,2022-07-25 00:00:00.000,66
Polygon,2022-08-01 00:00:00.000,49
Polygon,2022-08-08 00:00:00.000,42
Polygon,2022-08-15 00:00:00.000,63
Polygon,2022-08-22 00:00:00.000,44
Polygon,2022-08-29 00:00:00.000,47
Polygon,2022-09-05 00:00:00.000,47
Polygon,2022-09-12 00:00:00.000,53
Polygon,2022-09-19 00:00:00.000,46
Polygon,2022-09-26 00:00:00.000,45
Polygon,2022-10-03 00:00:00.000,50
Polygon,2022-10-10 00:00:00.000,43
Polygon,2022-10-17 00:00:00.000,40
Polygon,2022-10-24 00:00:00.000,63
Polygon,2022-10-31 00:00:00.000,82
Polygon,2022-11-07 00:00:00.000,49
Polygon,2022-11-14 00:00:00.000,82
Polygon,2022-11-21 00:00:00.000,73
Polygon,2022-11-28 00:00:00.000,78
Polygon,2022-12-05 00:00:00.000,88
Polygon,2022-12-12 00:00:00.000,67
Polygon,2022-12-19 00:00:00.000,62
Polygon,2022-12-26 00:00:00.000,81
Polygon,2023-01-02 00:00:00.000,74
Polygon,2023-01-09 00:00:00.000,81
Polygon,2023-01-16 00:00:00.000,60
Polygon,2023-01-23 00:00:00.000,61
Polygon,2023-01-30 00:00:00.000,83
Polygon,2023-02-06 00:00:00.000,53
Polygon,2023-02-13 00:00:00.000,51
Polygon,2023-02-20 00:00:00.000,44
Polygon,2023-02-27 00:00:00.000,68
Polygon,2023-03-06 00:00:00.000,43
Polygon,2023-03-13 00:00:00.000,51
Polygon,2023-03-20 00:00:00.000,63
Polygon,2023-03-27 00:00:00.000,54
Polygon,2023-04-03 00:00:00.000,63
Polygon,2023-04-10 00:00:00.000,76
Polygon,2023-04-17 00:00:00.000,87
Polygon,2023-04-24 00:00:00.000,53
Polygon,2023-05-01 00:00:00.000,97
Polygon,2023-05-08 00:00:00.000,170
Polygon,2023-05-15 00:00:00.000,152
Polygon,2023-05-22 00:00:00.000,166
Polygon,2023-05-29 00:00:00.000,151
Polygon,2023-06-05 00:00:00.000,109
Polygon,2023-06-12 00:00:00.000,143
Polygon,2023-06-19 00:00:00.000,117
Polygon,2023-06-26 00:00:00.000,82
Polygon,2023-07-03 00:00:00.000,77
Polygon,2023-07-10 00:00:00.000,116
Polygon,2023-07-17 00:00:00.000,118
Polygon,2023-07-24 00:00:00.000,126
Polygon,2023-07-31 00:00:00.000,103
Polygon,2023-08-07 00:00:00.000,144
Polygon,2023-08-14 00:00:00.000,86
Polygon,2023-08-21 00:00:00.000,81
Polygon,2023-08-28 00:00:00.000,91
Polygon,2023-09-04 00:00:00.000,89
Polygon,2023-09-11 00:00:00.000,61
Polygon,2023-09-18 00:00:00.000,71
Polygon,2023-09-25 00:00:00.000,66
Polygon,2023-10-02 00:00:00.000,52
Polygon,2023-10-09 00:00:00.000,74
Polygon,2023-10-16 00:00:00.000,95
Polygon,2023-10-23 00:00:00.000,78
Polygon,2023-10-30 00:00:00.000,76
Polygon,2023-11-06 00:00:00.000,51
Polygon,2023-11-13 00:00:00.000,91
Polygon,2023-11-20 00:00:00.000,97
Polygon,2023-11-27 00:00:00.000,99
Polygon,2023-12-04 00:00:00.000,101
Polygon,2023-12-11 00:00:00.000,90
Polygon,2023-12-18 00:00:00.000,121
Polygon,2023-12-25 00:00:00.000,105
Polygon,2024-01-01 00:00:00.000,156
Polygon,2024-01-08 00:00:00.000,166
Polygon,2024-01-15 00:00:00.000,97
﻿
