WEEK,CHAIN,UNIQUE_USERS,ACTIVE_POOLS,TOTAL_VOLUME,AVG_VOLUME,MEDIAN_VOLUME,CUMU_VOLUME
2023-02-20 00:00:00.000,Polygon,67284,1031,608065386.56,1411.132327143,161.16,29158394719.31
2023-02-27 00:00:00.000,Arbitrum,81412,538,141610737.8,883.691865784,12.7,4256559269.67
2023-02-27 00:00:00.000,Optimism,35936,277,105541545.71,741.172949831,87.49,3667708546.34
2023-02-27 00:00:00.000,Polygon,69005,1054,424609012.76,1159.177434903,81.22,29583003732.07
2023-03-06 00:00:00.000,Arbitrum,81111,551,229474776.06,1341.855742312,67.46,4486034045.73
2023-03-06 00:00:00.000,BSC,4,4,"null","null","null","null"
2023-03-06 00:00:00.000,Optimism,37611,297,122981157.95,713.45124264,119.9,3790689704.29
2023-03-06 00:00:00.000,Polygon,65997,1093,760880398.8,1527.038241764,242.915,30343884130.87
2023-03-13 00:00:00.000,Arbitrum,103551,622,410253186.15,1684.99793058,182.86,4896287231.88
2023-03-13 00:00:00.000,BSC,19523,193,20081005.66,2060.435631028,1000.53,20081005.66
2023-03-13 00:00:00.000,Optimism,46500,304,185907253.57,838.262099181,128.14,3976596957.86
2023-03-13 00:00:00.000,Polygon,65348,1138,721373732.18,1393.851165475,182.96,31065257863.05
2023-03-20 00:00:00.000,Arbitrum,191461,755,1164007907.5,3092.681255397,806.65,6060295139.38
2023-03-20 00:00:00.000,BSC,47924,216,18306706.04,922.019946613,169.36,38387711.7
2023-03-20 00:00:00.000,Optimism,42300,297,96800349.21,677.029677363,71.075,4073397307.07
2023-03-20 00:00:00.000,Polygon,70069,1109,493887316.66,1165.361785015,112.685,31559145179.71
2023-03-27 00:00:00.000,Arbitrum,163909,718,1340538527.83,3877.896848392,881.35,7400833667.21
2023-03-27 00:00:00.000,BSC,43442,233,17114332.68,1025.301502516,151.88,55502044.38
2023-03-27 00:00:00.000,Optimism,50020,281,57145283.25,525.812322874,64.73,4130542590.32
2023-03-27 00:00:00.000,Polygon,83192,1105,315987591.88,848.671593846,60.02,31875132771.59
2023-04-03 00:00:00.000,Arbitrum,182100,686,783746452.68,3657.154301953,551.03,8184580119.89
2023-04-03 00:00:00.000,BSC,43474,243,15818940.81,847.065103614,96.31,71320985.19
2023-04-03 00:00:00.000,Optimism,73231,293,48476865.5,530.346645734,40.505,4179019455.82
2023-04-03 00:00:00.000,Polygon,80645,1135,274956351.23,901.073762891,62.09,32150089122.82
2023-04-10 00:00:00.000,Arbitrum,221047,712,1244730429.1,4279.762581961,1001.11,9429310548.99
2023-04-10 00:00:00.000,BSC,46749,275,21607755.11,870.508222947,109.06,92928740.3
