WEEK,CHAIN,ACTIVE_USERS,CUMU_ACTIVE_USERS,SWAP_COUNT,CUMU_TXN_COUNT,TXN_PER_USER,PREV_WEEK_ACTIVE_USERS,RETENTION_RATE
2023-04-10 00:00:00.000,BSC,46749,201116,98300,408041,2.102719,43474,107.53
2023-04-10 00:00:00.000,Optimism,73816,2100295,331580,19775476,4.49198,73231,100.8
2023-04-10 00:00:00.000,Polygon,87449,4235392,450568,27910783,5.152352,80645,108.44
2023-04-17 00:00:00.000,Arbitrum,276088,3398641,1040933,16544834,3.770294,221047,124.9
2023-04-17 00:00:00.000,BSC,44413,245529,101569,509610,2.28692,46749,95
2023-04-17 00:00:00.000,Optimism,49287,2149582,292848,20068324,5.941688,73816,66.77
2023-04-17 00:00:00.000,Polygon,83645,4319037,402510,28313293,4.812123,87449,95.65
2023-04-24 00:00:00.000,Arbitrum,230310,3628951,832411,17377245,3.614307,276088,83.42
2023-04-24 00:00:00.000,BSC,51682,297211,119279,628889,2.307941,44413,116.37
2023-04-24 00:00:00.000,Optimism,49302,2198884,241968,20310292,4.907874,49287,100.03
2023-04-24 00:00:00.000,Polygon,78582,4397619,376295,28689588,4.788565,83645,93.95
2023-05-01 00:00:00.000,Arbitrum,182555,3811506,795757,18173002,4.358999,230310,79.26
2023-05-01 00:00:00.000,BSC,47321,344532,106801,735690,2.256947,51682,91.56
2023-05-01 00:00:00.000,Optimism,42883,2241767,171407,20481699,3.997085,49302,86.98
2023-05-01 00:00:00.000,Polygon,73413,4471032,363788,29053376,4.955362,78582,93.42
2023-05-08 00:00:00.000,Arbitrum,212094,4023600,780088,18953090,3.67803,182555,116.18
2023-05-08 00:00:00.000,BSC,46187,390719,92793,828483,2.009072,47321,97.6
2023-05-08 00:00:00.000,Optimism,35944,2277711,193476,20675175,5.382706,42883,83.82
2023-05-08 00:00:00.000,Polygon,78814,4549846,405370,29458746,5.143376,73413,107.36
2023-05-15 00:00:00.000,Arbitrum,178485,4202085,553006,19506096,3.098333,212094,84.15
2023-05-15 00:00:00.000,BSC,51417,442136,95931,924414,1.865745,46187,111.32
2023-05-15 00:00:00.000,Optimism,49185,2326896,195843,20871018,3.981763,35944,136.84
2023-05-15 00:00:00.000,Polygon,83598,4633444,367363,29826109,4.394399,78814,106.07
2023-05-22 00:00:00.000,Arbitrum,214534,4416619,607341,20113437,2.830978,178485,120.2
2023-05-22 00:00:00.000,BSC,71455,513591,120685,1045099,1.688965,51417,138.97
2023-05-22 00:00:00.000,Optimism,55738,2382634,188316,21059334,3.378593,49185,113.32
2023-05-22 00:00:00.000,Polygon,87491,4720935,378629,30204738,4.327634,83598,104.66
2023-05-29 00:00:00.000,Arbitrum,202532,4619151,596861,20710298,2.946996,214534,94.41
2023-05-29 00:00:00.000,BSC,71782,585373,123739,1168838,1.723817,71455,100.46
2023-05-29 00:00:00.000,Optimism,67899,2450533,219517,21278851,3.232993,55738,121.82
2023-05-29 00:00:00.000,Polygon,96592,4817527,379053,30583791,3.924269,87491,110.4
2023-06-05 00:00:00.000,Arbitrum,171664,4790815,666287,21376585,3.881344,202532,84.76
2023-06-05 00:00:00.000,BSC,79335,664708,151005,1319843,1.903384,71782,110.52
2023-06-05 00:00:00.000,Optimism,73608,2524141,294007,21572858,3.994226,67899,108.41
2023-06-05 00:00:00.000,Polygon,99428,4916955,623982,31207773,6.275717,96592,102.94
2023-06-12 00:00:00.000,Arbitrum,166603,4957418,603091,21979676,3.619929,171664,97.05
2023-06-12 00:00:00.000,BSC,69362,734070,143582,1463425,2.070038,79335,87.43
2023-06-12 00:00:00.000,Optimism,74756,2598897,281248,21854106,3.762213,73608,101.56
2023-06-12 00:00:00.000,Polygon,110956,5027911,550567,31758340,4.96203,99428,111.59
2023-06-19 00:00:00.000,Arbitrum,163773,5121191,673403,22653079,4.111807,166603,98.3
2023-06-19 00:00:00.000,Avalanche,7,7,25,25,3.571429,"null","null"
2023-06-19 00:00:00.000,BSC,62078,796148,122199,1585624,1.968475,69362,89.5
2023-06-19 00:00:00.000,Optimism,79431,2678328,305895,22160001,3.851078,74756,106.25
2023-06-19 00:00:00.000,Polygon,108308,5136219,562153,32320493,5.190318,110956,97.61
2023-06-26 00:00:00.000,Arbitrum,208335,5329526,801584,23454663,3.847572,163773,127.21
2023-06-26 00:00:00.000,Avalanche,13,20,62,87,4.769231,7,185.71
2023-06-26 00:00:00.000,BSC,54166,850314,114325,1699949,2.110641,62078,87.25
2023-06-26 00:00:00.000,Optimism,97886,2776214,327376,22487377,3.344462,79431,123.23
2023-06-26 00:00:00.000,Polygon,122885,5259104,605316,32925809,4.925874,108308,113.46
2023-07-03 00:00:00.000,Arbitrum,178392,5507918,567075,24021738,3.178814,208335,85.63
2023-07-03 00:00:00.000,Avalanche,21,41,122,209,5.809524,13,161.54
2023-07-03 00:00:00.000,BSC,49825,900139,99873,1799822,2.004476,54166,91.99
2023-07-03 00:00:00.000,Optimism,93360,2869574,265244,22752621,2.841088,97886,95.38
2023-07-03 00:00:00.000,Polygon,127414,5386518,523227,33449036,4.106511,122885,103.69
2023-07-10 00:00:00.000,Arbitrum,156204,5664122,632845,24654583,4.051401,178392,87.56
2023-07-10 00:00:00.000,Avalanche,935,976,12777,12986,13.665241,21,4452.38
2023-07-10 00:00:00.000,BSC,61870,962009,132284,1932106,2.138096,49825,124.17
2023-07-10 00:00:00.000,Optimism,105250,2974824,329643,23082264,3.132,93360,112.74
2023-07-10 00:00:00.000,Polygon,127447,5513965,597089,34046125,4.684998,127414,100.03
2023-07-17 00:00:00.000,Arbitrum,140122,5804244,544138,25198721,3.883316,156204,89.7
2023-07-17 00:00:00.000,Avalanche,10436,11412,24666,37652,2.363549,935,1116.15
2023-07-17 00:00:00.000,BSC,63952,1025961,127409,2059515,1.99226,61870,103.37
