CHAIN,WEEK,DEX,UNIQUE_USERS,SWAP_VOLUME
Arbitrum,2022-02-21 00:00:00.000,hashflow,388,"null"
Arbitrum,2022-02-21 00:00:00.000,balancer,1084,7965377.78
Arbitrum,2022-02-21 00:00:00.000,dodo,174,740069.7
Arbitrum,2022-02-21 00:00:00.000,curve,534,8116970.51
Arbitrum,2022-02-21 00:00:00.000,gmx,425,11214135.51
Arbitrum,2022-02-21 00:00:00.000,sushiswap,11591,213015803.26
Avalanche,2022-02-21 00:00:00.000,kyberswap,1074,1937251.67
Avalanche,2022-02-21 00:00:00.000,pangolin,21081,144374002.89
Avalanche,2022-02-21 00:00:00.000,trader joe,104671,1159329453.46
Avalanche,2022-02-21 00:00:00.000,platypus,2288,140516021.22
Avalanche,2022-02-21 00:00:00.000,woofi,1,"null"
Avalanche,2022-02-21 00:00:00.000,sushiswap,8296,3714279.69
Avalanche,2022-02-21 00:00:00.000,curve,1968,97677188.23
Avalanche,2022-02-21 00:00:00.000,gmx,860,96128386.44
BSC,2022-02-21 00:00:00.000,hashflow,837,"null"
BSC,2022-02-21 00:00:00.000,dodo,10474,1190565.22
BSC,2022-02-21 00:00:00.000,kyberswap,1001,1706889.13
BSC,2022-02-21 00:00:00.000,biswap,48311,189290726.46
BSC,2022-02-21 00:00:00.000,sushiswap,5455,503293.47
BSC,2022-02-21 00:00:00.000,pancakeswap,1314252,1254065114.76
BSC,2022-02-21 00:00:00.000,woofi,2115,"null"
Optimism,2022-02-21 00:00:00.000,curve,130,"null"
Optimism,2022-02-21 00:00:00.000,synthetix,280,118.54
Optimism,2022-02-21 00:00:00.000,uniswap,2803,27688013.47
Polygon,2022-02-21 00:00:00.000,dodo,15992,8.2
Polygon,2022-02-21 00:00:00.000,hashflow,1273,"null"
Polygon,2022-02-21 00:00:00.000,curve,4122,10542252.27
Polygon,2022-02-21 00:00:00.000,quickswap,92783,150534626.61
Polygon,2022-02-21 00:00:00.000,uniswap,52753,148939879.33
Polygon,2022-02-21 00:00:00.000,balancer,33042,12779355.07
Polygon,2022-02-21 00:00:00.000,sushiswap,30181,50129719.77
Polygon,2022-02-21 00:00:00.000,kyberswap,39717,2019368.3
Arbitrum,2022-02-28 00:00:00.000,gmx,351,14185836.86
Arbitrum,2022-02-28 00:00:00.000,sushiswap,15501,141553867.99
Arbitrum,2022-02-28 00:00:00.000,balancer,1115,5660430.34
Arbitrum,2022-02-28 00:00:00.000,hashflow,215,"null"
Arbitrum,2022-02-28 00:00:00.000,uniswap,4243,37970260.97
Arbitrum,2022-02-28 00:00:00.000,dodo,117,292971.3
Arbitrum,2022-02-28 00:00:00.000,curve,381,4997044.94
Avalanche,2022-02-28 00:00:00.000,woofi,11,"null"
Avalanche,2022-02-28 00:00:00.000,pangolin,19104,121564524.92
Avalanche,2022-02-28 00:00:00.000,curve,1760,70733198.18
Avalanche,2022-02-28 00:00:00.000,trader joe,108378,998534190.94
Avalanche,2022-02-28 00:00:00.000,gmx,702,49353270.76
Avalanche,2022-02-28 00:00:00.000,platypus,2203,164702405.3
Avalanche,2022-02-28 00:00:00.000,sushiswap,7296,2656007.48
Avalanche,2022-02-28 00:00:00.000,kyberswap,1489,4032240.79
BSC,2022-02-28 00:00:00.000,sushiswap,4377,206809.54
BSC,2022-02-28 00:00:00.000,dodo,12743,1002030.97
BSC,2022-02-28 00:00:00.000,kyberswap,984,4168484.01
BSC,2022-02-28 00:00:00.000,pancakeswap,1193114,1096708655.06
BSC,2022-02-28 00:00:00.000,woofi,2051,"null"
BSC,2022-02-28 00:00:00.000,biswap,45551,140644625.61
BSC,2022-02-28 00:00:00.000,hashflow,528,"null"
Optimism,2022-02-28 00:00:00.000,synthetix,223,1193.14
